kepid,nkoi,teff,radius,mass,rrmscdpp03p0,rrmscdpp06p0,stellar_type
7034097,0,3916,0.594,0.596,32.283,35.865,M-Dwarf
12009504,0,6175,1.344,1.08,21.587,20.527,Sun-like
10516096,0,5940,1.43,1.14,20.352,16.905,Sun-like
9703177,0,6157,1.33,1.0798,21.179,16.256,Sun-like
10809164,0,6170,1.56,0.9431,19.621,15.222,Sun-like
3936736,0,3931,0.554,0.5509,54.721,57.877,M-Dwarf
5217805,0,6047,1.005,0.96,18.57,16.339,Sun-like
5633439,0,5465,0.733,0.689,22.345,17.379,Sun-like
8940939,0,6343,1.57,1.27,18.214,15.198,Sun-like
5696568,0,3889,0.553,0.5538,31.04,28.35,M-Dwarf
7101742,0,6394,1.447,1.1614,18.078,14.427,Sun-like
6804018,0,3374,0.245,0.2291,51.987,42.824,M-Dwarf
7879456,0,3833,0.578,0.584,40.743,41.306,M-Dwarf
8351810,0,3888,0.6,0.604,36.729,34.478,M-Dwarf
8073932,0,5522,1.125,0.873,20.943,17.862,Sun-like
10731839,0,3247,0.214,0.192,46.269,40.123,M-Dwarf
4914923,0,5905,1.42,1.19,20.84,17.578,Sun-like
5351659,0,3852,0.579,0.582,43.042,51.895,M-Dwarf
6888297,0,3478,0.306,0.3033,53.126,56.277,M-Dwarf
12011630,0,5817,0.99,0.85,16.035,12.886,Sun-like
8442604,0,3847,0.501,0.5077,54.059,48.47,M-Dwarf
9702369,0,6278,1.324,1.169,19.585,17.366,Sun-like
4862870,0,6818,1.613,1.5044,19.381,16.597,Sun-like
6603624,0,5671,1.162,1.027,18.278,15.233,Sun-like
2158850,0,6108,0.787,0.6836,20.657,16.552,Sun-like
11393580,0,3993,0.596,0.592,38.752,42.816,M-Dwarf
3641858,0,5513,0.753,0.8224,15.368,12.399,Sun-like
10079226,0,6078,1.15,1.15,19.144,17.198,Sun-like
3852327,0,3830,0.561,0.5657,45.837,47.643,M-Dwarf
5253542,0,5770,1.12,0.89,20.545,16.498,Sun-like
9307354,0,5204,0.769,0.7231,17.133,13.923,Sun-like
9940978,0,6238,1.547,1.1404,21.693,17.166,Sun-like
9528112,0,3000,0.144,0.117,30.326,31.614,M-Dwarf
8143842,0,5780,1.0,,19.883,19.85,Sun-like
5962180,0,5637,0.821,0.9018,14.87,12.92,Sun-like
6850118,0,3960,0.609,0.61,39.583,40.442,M-Dwarf
9203308,0,6295,1.676,1.1559,19.338,16.479,Sun-like
6437648,0,4135,0.573,0.577,21.808,27.355,Sun-like
9283220,0,3936,0.585,0.583,49.657,71.858,M-Dwarf
6600155,0,6109,1.524,1.1421,21.014,18.223,Sun-like
11342410,0,5858,1.212,0.97,18.66,17.105,Sun-like
5724853,0,5959,1.112,0.992,18.874,15.703,Sun-like
4952259,0,6754,1.48,1.139,14.181,10.292,Sun-like
11255615,0,6184,1.36,1.0087,22.241,18.697,Sun-like
12266662,0,5918,1.509,0.9078,19.442,15.198,Sun-like
11519952,0,6003,0.973,0.756,22.661,18.383,Sun-like
4954074,0,6760,1.482,1.237,19.197,16.228,Sun-like
5565816,0,3247,0.2,0.178,54.704,57.524,M-Dwarf
5217805,0,6046,1.101,0.953,17.539,15.464,Sun-like
9760257,0,5440,0.739,0.69,21.219,17.409,Sun-like
8760414,0,5787,1.02,0.8,13.361,10.794,Sun-like
6469154,0,5382,0.858,0.889,13.285,11.457,Sun-like
5177450,0,5780,1.0,,22.36,30.439,Sun-like
4847465,0,5674,1.269,0.891,20.333,19.613,Sun-like
3735871,0,6108,1.092,1.055,21.25,20.694,Sun-like
11719930,0,6478,1.185,0.98,20.555,16.366,Sun-like
6923148,0,6164,0.994,0.9857,16.471,13.814,Sun-like
6116048,0,5935,1.21,1.0,15.365,13.162,Sun-like
10422713,0,5739,0.858,0.871,20.399,16.15,Sun-like
8739290,0,6108,0.997,1.072,19.458,18.598,Sun-like
8694381,0,5780,1.0,,15.546,21.151,Sun-like
9541616,0,6363,1.329,1.0141,19.549,18.414,Sun-like
5091897,0,5720,0.846,0.8122,22.185,19.606,Sun-like
12169236,0,5408,0.829,0.815,22.508,23.893,Sun-like
8025283,0,5936,1.106,1.0549,19.813,17.928,Sun-like
5019620,0,6146,1.947,1.222,21.016,16.933,Sun-like
6442336,0,5968,1.675,1.0096,20.837,18.136,Sun-like
9697403,0,5780,1.0,,9.64,11.337,Sun-like
7970740,0,5308,0.728,0.701,14.598,14.203,Sun-like
4470937,0,3527,0.406,0.419,23.285,20.159,M-Dwarf
8476457,0,6103,0.842,0.716,20.828,16.589,Sun-like
10749841,0,6193,1.067,1.127,19.584,14.263,Sun-like
8715392,0,6889,1.828,1.054,19.944,15.966,Sun-like
5962180,0,5691,0.897,0.881,16.059,14.296,Sun-like
10456512,0,5463,0.719,0.75,20.716,18.298,Sun-like
6049715,0,6046,0.934,0.981,21.636,18.078,Sun-like
11032531,0,3802,0.449,0.456,55.083,72.783,M-Dwarf
11454149,0,6435,1.17,1.18,21.655,19.168,Sun-like
4043389,0,3871,0.625,0.621,37.866,33.427,M-Dwarf
6675338,0,5780,1.0,,12.582,13.012,Sun-like
5717618,0,5780,1.0,,15.709,14.163,Sun-like
10199218,0,6935,1.747,1.403,11.129,9.951,Sun-like
9071562,0,5589,1.072,0.882,19.609,16.055,Sun-like
9307354,0,5221,0.797,0.744,18.791,15.487,Sun-like
4666248,0,6181,1.34,1.0055,22.397,17.471,Sun-like
9139151,0,6299,1.17,1.196,19.423,19.025,Sun-like
4645245,0,6157,1.061,1.004,21.735,17.183,Sun-like
7898839,0,5232,0.769,0.7391,16.676,16.373,Sun-like
7625094,0,6261,1.885,1.1675,19.322,16.691,Sun-like
12009504,0,6065,1.39,1.16,19.516,18.077,Sun-like
7604944,0,5780,1.0,,13.102,13.483,Sun-like
11565158,0,5996,1.241,1.147,14.604,11.973,Sun-like
10396960,0,6258,1.843,1.1716,20.447,18.767,Sun-like
