kepid,nkoi,teff,radius,mass,rrmscdpp03p0,rrmscdpp06p0,stellar_type
7662428,0,6355,1.375,1.304,19.268,21.588,Sun-like
9225997,0,6202,0.903,0.942,17.857,14.221,Sun-like
11401988,0,3589,0.386,0.4038,41.563,40.754,M-Dwarf
3859850,0,5860,1.12,0.7996,20.584,18.064,Sun-like
4142913,0,3410,0.342,0.345,23.42,21.245,M-Dwarf
10685353,0,5780,1.0,,17.353,22.791,Sun-like
12069449,0,5745,1.069,0.952,15.319,13.205,Sun-like
8309936,0,3306,0.223,0.2029,52.397,56.141,M-Dwarf
8444238,0,5692,0.925,0.9312,21.51,21.858,Sun-like
9604728,0,5437,0.765,0.8317,19.205,17.255,Sun-like
8760414,0,5931,0.965,0.753,14.954,12.106,Sun-like
9718359,0,5742,0.955,0.818,21.584,17.033,Sun-like
12555505,0,5738,1.042,0.9507,17.971,14.969,Sun-like
7206252,0,6170,1.171,1.089,19.184,16.338,Sun-like
7940546,0,6264,1.92,1.31,22.338,19.243,Sun-like
8036316,0,5534,0.848,0.826,21.533,18.822,Sun-like
5717618,0,5780,1.0,,18.673,17.707,Sun-like
4756776,0,6677,1.762,1.383,15.765,13.271,Sun-like
3634451,0,3304,0.221,0.2024,39.933,40.29,M-Dwarf
9490506,0,6559,1.218,1.235,16.612,12.13,Sun-like
6020867,0,5780,1.0,,16.896,18.495,Sun-like
3335176,0,3225,0.193,0.17,25.797,27.706,M-Dwarf
3735871,0,6176,1.09,1.07,19.305,18.162,Sun-like
12169236,0,5408,0.829,0.815,18.697,18.972,Sun-like
9697403,0,5780,1.0,,8.869,9.31,Sun-like
10612448,0,3750,0.45,0.462,53.722,45.574,M-Dwarf
12156916,0,6372,1.418,1.029,21.797,17.914,Sun-like
11909902,0,3994,0.58,0.612,49.45,54.311,M-Dwarf
9410862,0,6230,1.22,1.12,20.193,16.64,Sun-like
11870319,0,6092,1.249,1.043,21.358,16.868,Sun-like
7584294,0,6003,1.085,1.002,16.91,14.597,Sun-like
6603624,0,5625,1.16,1.03,19.211,16.165,Sun-like
3115398,0,6214,1.192,1.0247,22.521,20.267,Sun-like
8542853,0,5569,0.826,0.866,16.595,15.991,Sun-like
8736241,0,6163,1.503,1.1251,18.576,15.64,Sun-like
6689302,0,3916,0.594,0.596,43.672,46.68,M-Dwarf
10613255,0,5125,1.675,0.9224,22.274,18.783,Sun-like
8037268,0,5205,0.774,0.759,14.65,12.876,Sun-like
4043389,0,3878,0.628,0.624,38.918,35.857,M-Dwarf
7898839,0,5232,0.769,0.739,19.193,20.01,Sun-like
8982583,0,6561,1.793,1.377,19.535,17.539,Sun-like
6607779,0,6247,1.162,1.032,22.057,19.338,Sun-like
7510397,0,6156,1.709,1.097,17.192,14.489,Sun-like
10516096,0,5953,1.358,1.018,22.679,19.065,Sun-like
9285102,0,5796,1.403,1.1544,21.749,17.265,Sun-like
7812264,0,3885,0.555,0.5558,44.177,42.033,M-Dwarf
7601573,0,3741,0.579,0.58,38.164,36.077,M-Dwarf
4946401,0,5324,0.966,0.8464,19.954,17.221,Sun-like
9595178,0,5530,1.007,0.9293,19.159,15.543,Sun-like
10809164,0,6161,1.03,0.886,22.045,17.274,Sun-like
9760257,0,5440,0.739,0.6895,19.426,15.751,Sun-like
7986589,0,5448,1.041,0.861,20.485,20.841,Sun-like
11072472,0,5182,0.627,0.6187,19.447,16.529,Sun-like
9217575,0,6438,1.532,1.0595,19.77,15.311,Sun-like
7432548,0,6987,1.667,1.5036,14.143,11.4,Sun-like
9965715,0,6483,1.078,1.114,19.741,17.476,Sun-like
9202350,0,5289,0.852,0.7787,19.965,15.282,Sun-like
11453915,0,6608,1.22,1.25,20.926,17.286,Sun-like
8894567,0,5172,0.714,0.72,21.674,23.24,Sun-like
4912785,0,5551,0.957,0.804,19.067,15.817,Sun-like
10652967,0,6120,1.517,1.1056,18.114,14.297,Sun-like
11918550,0,3846,0.501,0.5252,55.273,50.056,M-Dwarf
7748051,0,3912,0.561,0.5593,32.028,34.06,M-Dwarf
9139151,0,6125,1.16,1.17,16.443,15.595,Sun-like
7834539,0,3918,0.547,0.5497,52.103,55.777,M-Dwarf
8394589,0,6114,1.15,0.98,14.728,12.197,Sun-like
4995565,0,5476,0.832,0.7437,22.505,17.635,Sun-like
9836221,0,5780,1.0,,19.116,26.933,Sun-like
7265013,0,5460,0.956,0.867,21.616,18.985,Sun-like
11772920,0,5346,0.892,0.799,16.126,13.682,Sun-like
6668678,0,5888,1.811,0.8944,20.706,16.127,Sun-like
3956527,0,5392,0.701,0.747,21.025,17.105,Sun-like
8150065,0,6265,1.42,1.21,21.897,18.188,Sun-like
7107941,0,3138,0.169,0.143,42.997,55.681,M-Dwarf
7183590,0,3716,0.456,0.468,41.559,52.311,M-Dwarf
7871531,0,5400,0.86,0.8,17.552,15.414,Sun-like
12011630,0,5726,1.021,0.918,17.812,14.53,Sun-like
7899650,0,6181,1.686,1.091,19.417,16.685,Sun-like
5557932,0,5936,1.098,1.0194,19.672,20.538,Sun-like
7812264,0,3885,0.555,0.556,51.174,49.639,M-Dwarf
4847465,0,5674,1.269,0.8914,17.263,16.101,Sun-like
7871531,0,5505,0.86,0.803,16.807,14.722,Sun-like
6607191,0,5780,1.0,,22.634,25.732,Sun-like
7432548,0,6987,1.667,1.504,14.405,11.492,Sun-like
6923148,0,6164,0.994,0.986,19.757,16.932,Sun-like
5273973,0,3632,0.465,0.49,45.879,59.02,M-Dwarf
6106415,0,5990,1.23,1.09,17.171,14.601,Sun-like
4862870,0,6827,1.416,1.448,20.862,18.105,Sun-like
10462940,0,6156,1.235,1.159,20.243,18.408,Sun-like
11032531,0,3800,0.446,0.4571,48.581,53.824,M-Dwarf
4831185,0,5906,1.275,0.884,19.545,21.309,Sun-like
6020867,0,5780,1.0,,12.299,11.727,Sun-like
7538021,0,3773,0.501,0.507,43.362,52.669,M-Dwarf
5867284,0,6248,1.996,1.078,22.675,19.14,Sun-like
6286466,0,3244,0.199,0.177,22.009,20.586,M-Dwarf
4246455,0,5751,1.318,0.952,20.354,17.235,Sun-like
9292238,0,3876,0.576,0.579,44.829,56.756,M-Dwarf
8143842,0,5780,1.0,,13.727,14.315,Sun-like
10454113,0,6183,1.205,1.06,17.679,16.949,Sun-like
12011630,0,5817,0.99,0.85,18.797,15.359,Sun-like
11287318,0,3845,0.52,0.531,31.256,35.962,M-Dwarf
11615824,0,5948,0.919,0.983,21.84,19.21,Sun-like
6461193,0,5578,0.689,0.6565,22.401,17.586,Sun-like
7107941,0,3138,0.169,0.1428,36.027,40.972,M-Dwarf
5962180,0,5637,0.821,0.902,17.367,15.728,Sun-like
4472430,0,5780,1.0,,19.287,18.365,Sun-like
7841024,0,6160,1.475,1.0886,21.433,22.378,Sun-like
7418359,0,6441,1.482,1.168,12.225,11.158,Sun-like
10527172,0,5668,0.785,0.8549,16.913,13.745,Sun-like
6232600,0,6447,1.302,1.153,19.583,20.272,Sun-like
9693187,0,5638,1.347,0.852,18.933,15.495,Sun-like
4906883,0,6338,1.493,1.191,21.751,18.414,Sun-like
11622723,0,3707,0.356,0.369,50.798,65.15,M-Dwarf
6586053,0,6148,1.501,1.0961,18.036,14.712,Sun-like
8394589,0,6147,1.147,0.976,16.552,14.142,Sun-like
7898839,0,5232,0.769,0.739,21.53,22.907,Sun-like
7899650,0,6181,1.686,1.091,17.825,15.509,Sun-like
10602391,0,5344,0.632,0.622,19.401,16.703,Sun-like
4554810,0,5713,0.957,1.056,22.447,18.782,Sun-like
7260381,0,6014,1.232,1.032,22.159,20.725,Sun-like
2450412,0,3741,0.489,0.4958,22.745,23.578,M-Dwarf
8694723,0,6120,1.49,1.02,21.965,18.615,Sun-like
12555642,0,3686,0.472,0.482,46.86,45.324,M-Dwarf
3946262,0,5805,1.01,1.101,21.25,19.437,Sun-like
10961247,0,3720,0.436,0.45,53.063,44.074,M-Dwarf
6225718,0,6320,1.207,1.096,14.015,12.117,Sun-like
7898731,0,3837,0.577,0.5828,43.994,45.055,M-Dwarf
8349612,0,5835,1.012,0.7732,17.415,13.791,Sun-like
6698653,0,5992,0.803,0.752,22.353,17.543,Sun-like
10988876,0,6335,1.292,1.0342,17.605,14.338,Sun-like
10124866,0,5755,0.91,0.88,12.138,12.128,Sun-like
10079226,0,5945,1.115,1.067,21.179,19.593,Sun-like
6106415,0,5990,1.23,1.09,14.175,11.775,Sun-like
11401988,0,3590,0.386,0.399,52.719,63.49,M-Dwarf
10163983,0,3661,0.469,0.4791,32.981,37.008,M-Dwarf
10422713,0,5739,1.086,0.84,21.236,16.735,Sun-like
8364751,0,5891,0.861,0.869,21.989,18.446,Sun-like
6129877,0,6064,1.36,1.15,20.933,17.118,Sun-like
4847465,0,5675,0.868,0.912,19.263,18.571,Sun-like
8494149,0,5850,1.217,1.0718,21.739,17.111,Sun-like
4246455,0,5751,1.318,0.9518,18.557,15.547,Sun-like
6020867,0,5780,1.0,,12.889,15.345,Sun-like
8574377,0,5666,1.708,1.123,22.6,18.268,Sun-like
3946262,0,5592,0.782,0.8562,20.629,18.691,Sun-like
5002836,0,2661,0.116,0.094,48.958,39.543,M-Dwarf
6306896,0,6958,1.593,1.419,19.905,22.641,Sun-like
4349067,0,5884,1.715,1.1372,18.578,14.861,Sun-like
8379927,0,6034,1.15,1.2,13.577,13.48,Sun-like
6947459,0,3453,0.107,0.102,50.898,38.174,M-Dwarf
6306896,0,6932,1.319,1.322,20.002,24.119,Sun-like
7286531,0,6002,1.472,0.965,20.857,19.437,Sun-like
10731839,0,3256,0.207,0.184,51.252,46.299,M-Dwarf
12555642,0,3685,0.472,0.482,34.357,30.896,M-Dwarf
9075065,0,6332,1.149,1.0094,22.227,20.242,Sun-like
6923148,0,6163,0.985,0.986,18.106,15.371,Sun-like
6345835,0,3702,0.496,0.5205,34.697,29.38,M-Dwarf
9230350,0,3677,0.453,0.47,45.373,39.326,M-Dwarf
7879979,0,6122,1.045,1.013,21.137,16.952,Sun-like
11138484,0,3981,0.602,0.5996,51.586,53.07,M-Dwarf
3859371,0,3926,0.548,0.57,50.701,54.535,M-Dwarf
4246455,0,5751,1.318,0.952,21.673,18.608,Sun-like
7362849,0,3878,0.574,0.5764,51.33,51.625,M-Dwarf
11098364,0,5007,0.614,0.613,17.517,15.625,Sun-like
5019620,0,6146,1.947,1.222,22.083,17.67,Sun-like
10853891,0,5795,1.303,0.902,17.331,15.467,Sun-like
9031086,0,6531,1.715,1.1857,21.941,18.651,Sun-like
8179536,0,6329,1.311,1.172,22.083,22.779,Sun-like
10331969,0,6143,1.946,1.1911,22.438,17.155,Sun-like
8379927,0,6034,1.15,1.2,16.52,17.728,Sun-like
4906883,0,6338,1.493,1.1912,18.561,15.455,Sun-like
7588236,0,5908,0.916,0.9005,21.996,17.143,Sun-like
12069449,0,5811,1.092,0.991,16.293,14.163,Sun-like
10794845,0,6137,1.082,1.011,20.474,17.584,Sun-like
4909473,0,6319,1.032,1.084,20.463,22.733,Sun-like
10644253,0,6030,1.11,1.14,21.708,20.614,Sun-like
9701423,0,6563,1.091,1.108,16.731,13.07,Sun-like
11506859,0,4841,0.58,0.5861,14.533,13.194,Sun-like
6232600,0,6435,1.34,1.23,17.321,16.837,Sun-like
10677047,0,5663,0.849,0.9165,20.318,17.531,Sun-like
8344414,0,3933,0.613,0.6156,48.392,43.126,M-Dwarf
3633889,0,6421,1.305,1.175,18.233,15.939,Sun-like
11018954,0,3773,0.512,0.526,33.62,28.691,M-Dwarf
5273973,0,3634,0.467,0.491,49.3,66.247,M-Dwarf
6063291,0,5695,0.906,0.756,10.862,8.756,Sun-like
7538021,0,3772,0.501,0.5065,33.661,33.587,M-Dwarf
12069449,0,5811,1.092,0.9907,13.537,11.694,Sun-like
11763874,0,6173,1.242,1.2647,20.754,17.409,Sun-like
11342410,0,5858,1.212,0.97,18.913,17.243,Sun-like
9204877,0,4984,0.763,0.7958,19.415,15.78,Sun-like
4138978,0,6303,1.384,1.0632,22.355,17.219,Sun-like
7106245,0,6082,1.066,0.764,21.599,17.503,Sun-like
4349067,0,5884,1.715,1.137,22.011,18.0,Sun-like
10978737,0,6065,1.101,0.873,22.487,18.404,Sun-like
11569983,0,6039,1.716,1.094,22.185,18.601,Sun-like
8188157,0,6880,1.752,1.461,19.071,14.41,Sun-like
5867284,0,6251,0.946,0.947,21.889,18.304,Sun-like
8561664,0,6254,1.353,1.0158,19.393,16.648,Sun-like
8298626,0,6211,1.37,1.16,20.43,18.188,Sun-like
3641858,0,5495,0.857,0.763,17.272,14.166,Sun-like
4364354,0,6144,1.34,1.1177,22.666,19.82,Sun-like
4841888,0,3336,0.236,0.218,41.451,37.144,M-Dwarf
6964893,0,5925,1.084,0.868,21.486,17.426,Sun-like
11081642,0,5993,1.269,1.048,21.022,19.258,Sun-like
8424992,0,5807,1.06,0.96,17.219,13.859,Sun-like
11081642,0,5993,1.269,1.0477,17.205,15.35,Sun-like
3124511,0,6096,1.099,0.961,22.192,17.897,Sun-like
5962551,0,3318,0.199,0.1798,46.261,37.003,M-Dwarf
5961270,0,6222,1.402,1.164,22.336,18.384,Sun-like
7106245,0,6058,1.117,0.9417,19.737,15.804,Sun-like
7760745,0,5485,0.788,0.7161,20.836,20.293,Sun-like
11027406,0,6250,1.37,1.07,19.585,15.582,Sun-like
8217182,0,5945,1.153,0.9808,17.936,16.792,Sun-like
6966232,0,6271,1.767,1.328,16.791,13.882,Sun-like
10866983,0,3908,0.597,0.599,34.366,33.467,M-Dwarf
10934586,0,6202,1.366,1.166,21.848,17.628,Sun-like
6306896,0,6958,1.593,1.4194,17.175,17.96,Sun-like
5795961,0,3887,0.569,0.569,49.84,53.867,M-Dwarf
10527172,0,5654,0.774,0.865,18.127,14.701,Sun-like
9603809,0,6266,0.985,1.049,21.872,20.324,Sun-like
4645245,0,6322,1.913,0.9714,19.225,15.063,Sun-like
9603809,0,6271,1.275,1.0415,19.374,17.242,Sun-like
10618260,0,5926,1.113,0.9055,20.256,18.737,Sun-like
12736910,0,6514,1.356,1.0478,16.749,14.853,Sun-like
12355672,0,5737,1.408,0.9184,17.846,13.998,Sun-like
12069424,0,5846,1.156,0.9544,18.168,15.403,Sun-like
9836221,0,5780,1.0,,20.638,26.084,Sun-like
8056313,0,6959,1.922,1.066,18.82,17.428,Sun-like
8869548,0,6678,1.253,1.236,20.435,16.711,Sun-like
10647081,0,3396,0.372,0.3796,41.364,36.184,M-Dwarf
7604944,0,5780,1.0,,16.926,18.428,Sun-like
9475874,0,5575,1.288,0.9489,22.11,19.706,Sun-like
7101742,0,6394,1.466,1.195,20.292,16.378,Sun-like
11234835,0,5780,1.0,,22.627,27.764,Sun-like
3967859,0,5938,1.207,0.915,22.51,17.884,Sun-like
7748051,0,3912,0.561,0.559,44.538,52.854,M-Dwarf
8476457,0,6105,1.764,0.8059,18.427,14.429,Sun-like
9821786,0,6061,0.97,1.05,22.147,17.707,Sun-like
10612448,0,3750,0.45,0.462,44.647,37.554,M-Dwarf
5206997,0,5780,1.0,,22.391,20.724,Sun-like
5015998,0,3350,0.233,0.2158,44.933,46.572,M-Dwarf
11229052,0,6495,1.48,1.27,22.018,19.448,Sun-like
12024065,0,3885,0.555,0.5558,32.854,36.249,M-Dwarf
7440048,0,6004,1.043,0.888,22.452,19.585,Sun-like
9701423,0,6559,1.529,1.1132,20.096,16.486,Sun-like
4136379,0,3030,0.148,0.1215,51.713,44.95,M-Dwarf
6442336,0,5968,1.675,1.01,21.162,18.333,Sun-like
10685353,0,5780,1.0,,19.156,24.678,Sun-like
7601573,0,3741,0.579,0.5796,32.958,31.053,M-Dwarf
11229131,0,6382,1.487,1.31,20.671,19.779,Sun-like
4243697,0,6084,1.103,0.839,21.072,17.036,Sun-like
11854674,0,6241,1.867,1.3,16.521,13.61,Sun-like
8982583,0,6561,1.793,1.377,18.639,17.203,Sun-like
6689302,0,3916,0.594,0.5957,37.911,38.59,M-Dwarf
6047087,0,6070,1.255,1.008,21.848,17.736,Sun-like
8073932,0,5482,0.981,0.828,22.354,19.17,Sun-like
6698653,0,6025,1.402,0.7793,19.971,15.396,Sun-like
5252698,0,3247,0.2,0.178,52.711,44.667,M-Dwarf
12010862,0,3821,0.571,0.578,33.37,37.437,M-Dwarf
8028326,0,6100,1.76,1.1087,18.658,16.463,Sun-like
12266662,0,5918,1.509,0.908,22.628,17.839,Sun-like
9664404,0,6124,1.264,1.165,22.388,19.229,Sun-like
4243697,0,6082,0.911,0.8488,19.522,15.577,Sun-like
7460461,0,5714,1.479,1.0264,22.179,18.15,Sun-like
7465902,0,6141,1.534,0.8885,20.398,18.047,Sun-like
7116767,0,3989,0.598,0.5948,51.798,51.381,M-Dwarf
10527172,0,5668,0.785,0.855,19.792,16.259,Sun-like
6288034,0,6692,1.174,0.943,19.02,14.252,Sun-like
8391021,0,6250,1.54,1.26,22.038,19.142,Sun-like
10016239,0,6388,1.254,1.179,22.073,22.752,Sun-like
8584610,0,5884,1.118,0.8625,19.248,15.88,Sun-like
10482041,0,5665,0.843,0.9277,20.016,18.661,Sun-like
3640986,0,5858,1.801,1.0114,20.081,15.832,Sun-like
9117875,0,6725,1.983,1.2245,18.526,18.169,Sun-like
5734420,0,3350,0.161,0.1441,49.414,51.492,M-Dwarf
4470937,0,3527,0.407,0.419,24.593,21.023,M-Dwarf
9078011,0,5506,0.973,0.9033,20.863,17.043,Sun-like
6976475,0,5655,0.93,1.009,19.732,16.716,Sun-like
2987466,0,5866,1.94,1.0014,21.146,16.462,Sun-like
9541616,0,6363,1.329,1.014,22.125,21.783,Sun-like
6947459,0,3433,0.104,0.099,53.424,40.519,M-Dwarf
3764335,0,3467,0.261,0.2502,48.47,46.983,M-Dwarf
9230350,0,3675,0.452,0.4689,43.355,37.848,M-Dwarf
12258514,0,5990,1.59,1.2,21.964,18.986,Sun-like
7879456,0,3833,0.578,0.5842,35.108,34.633,M-Dwarf
5270419,0,5681,1.027,1.0067,22.164,17.539,Sun-like
9143808,0,3815,0.602,0.6011,33.947,33.841,M-Dwarf
12555240,0,6230,1.592,1.1162,21.518,16.62,Sun-like
7939888,0,3780,0.469,0.4951,49.751,50.005,M-Dwarf
4909473,0,6340,1.17,1.047,21.648,24.013,Sun-like
4909473,0,6340,1.17,1.0472,15.723,16.223,Sun-like
8316361,0,5769,0.812,0.9,18.78,15.624,Sun-like
5524879,0,6262,1.259,1.131,22.53,21.212,Sun-like
8188157,0,6835,1.352,1.392,17.458,13.096,Sun-like
7377576,0,6253,1.149,1.0011,21.267,16.71,Sun-like
10685353,0,5780,1.0,,13.521,15.357,Sun-like
4446044,0,6869,1.365,1.2521,21.394,17.558,Sun-like
7016858,0,6276,1.736,1.1449,17.592,14.083,Sun-like
9447503,0,5713,0.856,0.9482,22.214,18.979,Sun-like
6380988,0,3409,0.277,0.2663,52.175,52.069,M-Dwarf
6850118,0,3960,0.609,0.6097,33.979,33.745,M-Dwarf
7183590,0,3722,0.46,0.469,48.208,71.35,M-Dwarf
5683912,0,3000,0.144,0.117,23.061,22.27,M-Dwarf
8056313,0,6959,1.922,1.0662,16.024,14.541,Sun-like
10462940,0,6154,1.26,1.2,21.557,19.528,Sun-like
7440048,0,6004,1.043,0.8883,18.729,15.908,Sun-like
11521813,0,6157,1.312,0.9619,21.622,17.204,Sun-like
9410862,0,6046,1.119,0.945,22.495,18.834,Sun-like
8427406,0,5420,1.869,1.1178,20.811,16.455,Sun-like
9595178,0,5522,1.239,0.929,21.503,17.671,Sun-like
5881733,0,3518,0.328,0.3319,39.292,39.007,M-Dwarf
3633889,0,6452,1.32,1.22,18.232,16.053,Sun-like
8217182,0,5853,0.868,0.961,20.157,19.847,Sun-like
7016858,0,6276,1.736,1.145,20.237,16.611,Sun-like
12555642,0,3686,0.472,0.4822,34.191,30.278,M-Dwarf
12069424,0,5775,1.165,0.973,18.408,15.045,Sun-like
9465763,0,5780,1.0,,9.592,9.226,Sun-like
9289894,0,4461,0.541,0.535,22.157,19.186,Sun-like
10647081,0,3396,0.37,0.378,42.517,36.453,M-Dwarf
10611110,0,5988,1.276,0.974,21.904,17.509,Sun-like
2450412,0,3741,0.489,0.496,26.291,29.012,M-Dwarf
11519952,0,6038,1.115,0.773,21.44,17.451,Sun-like
2159700,0,3837,0.503,0.506,20.801,24.333,M-Dwarf
9994044,0,6292,1.141,1.083,22.446,18.075,Sun-like
10853891,0,5795,1.303,0.902,16.078,14.266,Sun-like
4142913,0,3411,0.343,0.3458,21.809,19.261,M-Dwarf
8081256,0,5944,1.831,1.106,21.62,17.32,Sun-like
3967859,0,6211,1.33,1.13,20.353,15.801,Sun-like
11752083,0,6050,0.896,0.979,21.134,17.566,Sun-like
6469154,0,5382,0.858,0.889,14.146,12.413,Sun-like
8494872,0,6081,1.573,0.96,13.333,11.187,Sun-like
6976475,0,5655,0.93,1.009,18.134,15.777,Sun-like
3633545,0,5313,0.82,0.786,16.959,15.187,Sun-like
7970740,0,5394,0.8,0.82,12.982,12.036,Sun-like
5273973,0,3634,0.467,0.4907,39.501,42.398,M-Dwarf
8694723,0,6120,1.49,1.02,18.595,15.476,Sun-like
11197632,0,6353,1.263,1.067,21.024,18.648,Sun-like
11086448,0,6335,1.539,1.0837,20.029,16.397,Sun-like
8584610,0,5885,1.124,0.864,19.303,16.051,Sun-like
8675146,0,5938,1.476,0.906,20.453,16.858,Sun-like
4862870,0,6818,1.613,1.504,22.365,19.464,Sun-like
11506988,0,6438,1.91,1.28,20.154,17.701,Sun-like
9356691,0,6217,1.222,1.151,21.739,19.407,Sun-like
8678900,0,5225,1.598,0.9205,21.096,17.694,Sun-like
11519466,0,5842,0.903,0.878,17.033,12.433,Sun-like
8831759,0,4970,1.979,0.903,14.793,20.079,Sun-like
10677831,0,6061,1.525,1.0286,20.863,16.731,Sun-like
8245295,0,5768,1.411,0.9684,22.169,20.908,Sun-like
3633538,0,5849,1.489,0.91,16.916,15.626,Sun-like
5002836,0,2661,0.116,0.094,52.127,41.881,M-Dwarf
8159399,0,5391,1.074,0.935,21.253,17.692,Sun-like
7840502,0,5927,1.964,1.242,14.822,10.867,Sun-like
11342861,0,5780,1.0,,11.88,12.085,Sun-like
6116048,0,6031,1.19,0.959,17.389,15.103,Sun-like
8037268,0,5205,0.774,0.759,13.8,12.156,Sun-like
11569983,0,6039,1.716,1.094,21.053,17.534,Sun-like
5961270,0,6230,1.364,1.1313,20.044,16.317,Sun-like
3633538,0,5849,1.489,0.91,17.941,16.668,Sun-like
5351659,0,3852,0.579,0.5818,34.237,37.215,M-Dwarf
10602391,0,5344,0.632,0.622,18.392,15.905,Sun-like
10863940,0,3702,0.569,0.5691,39.776,38.525,M-Dwarf
3633538,0,5849,1.489,0.9103,14.49,13.038,Sun-like
12555505,0,5741,1.243,0.959,19.619,16.9,Sun-like
6345835,0,3703,0.497,0.52,31.721,26.214,M-Dwarf
8091059,0,6038,1.015,0.9832,22.718,18.609,Sun-like
10801273,0,3971,0.568,0.592,20.735,18.894,M-Dwarf
12156916,0,6546,1.58,1.28,19.387,15.732,Sun-like
8561664,0,6230,1.383,1.002,22.538,19.594,Sun-like
11234835,0,5780,1.0,,18.882,18.743,Sun-like
4470937,0,3527,0.407,0.4192,20.801,17.472,M-Dwarf
10215584,0,5995,1.12,0.99,20.819,17.745,Sun-like
9536767,0,6017,1.083,0.9819,20.781,18.049,Sun-like
5881733,0,3518,0.328,0.332,55.024,67.084,M-Dwarf
8073932,0,5482,0.981,0.8283,19.167,16.066,Sun-like
11454149,0,6435,1.17,1.18,18.165,15.547,Sun-like
10070754,0,6550,1.29,1.26,17.483,14.965,Sun-like
5951134,0,6296,1.545,0.9968,21.515,16.862,Sun-like
3335176,0,3225,0.193,0.1695,22.298,22.977,M-Dwarf
5351868,0,5967,1.385,1.0193,20.271,16.502,Sun-like
8028326,0,6100,1.76,1.109,22.569,20.099,Sun-like
9139163,0,6405,1.521,1.312,20.898,18.806,Sun-like
9283220,0,3936,0.585,0.5834,36.074,36.546,M-Dwarf
6603624,0,5625,1.16,1.03,16.316,13.321,Sun-like
9395233,0,6367,1.467,1.2713,21.562,19.983,Sun-like
9664404,0,6130,1.336,1.1829,20.135,17.055,Sun-like
6675338,0,5780,1.0,,8.924,10.875,Sun-like
9157390,0,3908,0.56,0.5705,46.95,51.654,M-Dwarf
8739290,0,6122,1.137,1.045,21.543,21.013,Sun-like
11342410,0,5858,1.212,0.97,15.495,13.623,Sun-like
3956527,0,5392,0.701,0.7473,18.219,14.418,Sun-like
6675338,0,5780,1.0,,13.473,14.837,Sun-like
12010862,0,3813,0.569,0.575,36.752,41.979,M-Dwarf
5555763,0,5880,1.678,1.0028,21.151,16.556,Sun-like
10070754,0,6550,1.29,1.26,20.538,17.783,Sun-like
3241299,0,6522,1.862,1.413,20.778,18.275,Sun-like
12405425,0,6322,1.176,0.9569,19.93,16.278,Sun-like
8760414,0,5787,1.02,0.8,15.878,12.993,Sun-like
10988876,0,6334,1.126,1.009,19.627,16.031,Sun-like
4738909,0,4588,0.668,0.6609,21.558,19.101,Sun-like
12355672,0,5741,0.93,0.89,19.721,15.649,Sun-like
6516783,0,3877,0.586,0.589,37.416,46.164,M-Dwarf
5019620,0,6146,1.947,1.2224,18.77,14.908,Sun-like
6469154,0,5382,0.858,0.8887,11.865,10.062,Sun-like
9658985,0,5884,1.473,0.9485,19.49,16.415,Sun-like
3241581,0,5770,1.03,0.89,21.777,18.824,Sun-like
4912785,0,5551,0.957,0.804,20.096,16.653,Sun-like
4554810,0,5713,0.957,1.0557,19.19,15.617,Sun-like
10934653,0,5999,0.959,1.0447,17.54,13.963,Sun-like
4841888,0,3336,0.236,0.219,47.095,43.32,M-Dwarf
5881733,0,3518,0.328,0.332,54.51,77.756,M-Dwarf
10355856,0,6350,1.75,1.33,22.166,20.675,Sun-like
5002836,0,2661,0.116,0.0939,44.594,35.742,M-Dwarf
8145383,0,6158,1.031,1.0559,21.004,18.057,Sun-like
9157390,0,3908,0.554,0.573,52.611,69.703,M-Dwarf
7373508,0,5486,0.845,0.7502,21.14,20.875,Sun-like
10322366,0,3751,0.515,0.523,45.995,40.885,M-Dwarf
8006161,0,5478,0.943,0.993,18.785,18.665,Sun-like
7383120,0,6048,1.42,1.16,21.562,16.888,Sun-like
7899650,0,6181,1.686,1.091,21.55,19.227,Sun-like
3640986,0,5858,1.801,1.011,22.459,17.88,Sun-like
11098364,0,5007,0.614,0.6132,17.975,15.763,Sun-like
4376841,0,3940,0.568,0.567,38.397,41.681,M-Dwarf
5263508,0,5906,1.474,0.941,22.534,18.08,Sun-like
5899165,0,6014,1.063,1.0187,20.897,20.302,Sun-like
4946401,0,5323,0.955,0.848,22.44,19.93,Sun-like
6889764,0,5892,0.977,1.0123,21.173,17.614,Sun-like
9025370,0,5659,0.96,0.83,14.727,13.135,Sun-like
10454113,0,6120,1.24,1.14,20.866,20.88,Sun-like
6280366,0,6273,1.499,1.2555,21.535,19.58,Sun-like
4376841,0,3940,0.568,0.567,49.538,63.482,M-Dwarf
8351810,0,3888,0.6,0.6038,31.468,29.123,M-Dwarf
11197632,0,6353,1.263,1.0671,18.907,16.414,Sun-like
11565158,0,5996,1.241,1.1471,12.501,9.992,Sun-like
7016858,0,6276,1.053,1.037,19.461,15.56,Sun-like
12555505,0,5738,1.042,0.951,20.811,17.891,Sun-like
8739290,0,6122,1.137,1.0453,17.467,16.191,Sun-like
10611110,0,5988,1.276,0.9739,19.203,15.228,Sun-like
3641858,0,5513,0.753,0.822,18.076,14.775,Sun-like
6607191,0,5780,1.0,,20.081,21.352,Sun-like
11287318,0,3845,0.519,0.5318,42.899,41.262,M-Dwarf
8696343,0,6178,1.18,1.11,20.418,17.171,Sun-like
